,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
MedicationRequest.dosageInstruction.method,,MedicationRequest.dosageInstruction.method,,,,,,0.0,,1,,,,,,Y,,CodeableConcept {[]} {[]},,Technique for administering medication,,Technique for administering medication.,,Terminologies used often pre-coordinate this term with the route and or form of administration.,,"A coded value indicating the method by which the medication is introduced into or onto the body. Most commonly used for injections.  For examples, Slow Push; Deep IV.",,example,,A coded concept describing the technique by which the medicine is administered.,,http://hl7.org/fhir/ValueSet/administration-method-codes,,,,,,Dosage.method,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.doseQuantity,right_only,
MedicationRequest.dosageInstruction.modifierExtension,,MedicationRequest.dosageInstruction.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,BackboneElement.modifierExtension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.dosageInstruction.patientInstruction,,MedicationRequest.dosageInstruction.patientInstruction,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,Patient or consumer oriented instructions,,Instructions in terms that are understood by the patient or consumer.,,,,,,,,,,,,,,,,Dosage.patientInstruction,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.text,right_only,
MedicationRequest.dosageInstruction.route,,MedicationRequest.dosageInstruction.route,,,,,,0.0,,1,,,,,,Y,,CodeableConcept {[]} {[]},,How drug should enter body,,How drug should enter body.,,,,A code specifying the route or physiological path of administration of a therapeutic agent into or onto a patient's body.,,example,,A coded concept describing the route or physiological path of administration of a therapeutic agent into or onto the body of a subject.,,http://hl7.org/fhir/ValueSet/route-codes,,,,,,Dosage.route,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.routeCode,right_only,
MedicationRequest.dosageInstruction.sequence,,MedicationRequest.dosageInstruction.sequence,,,,,,0.0,,1,,,,,,Y,,integer {[]} {[]},,The order of the dosage instructions,,Indicates the order in which the dosage instructions should be applied or interpreted.,,,,"If the sequence number of multiple Dosages is the same, then it is implied that the instructions are to be treated as concurrent.  If the sequence number is different, then the Dosages are intended to be sequential.",,,,,,,,,,,,Dosage.sequence,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.text,right_only,
MedicationRequest.dosageInstruction.site,,MedicationRequest.dosageInstruction.site,,,,,,0.0,,1,,,,,,Y,,CodeableConcept {[]} {[]},,Body site to administer to,,Body site to administer to.,,"If the use case requires attributes from the BodySite resource (e.g. to identify and track separately) then use the standard extension [bodySite](http://hl7.org/fhir/R4/extension-bodysite.html).  May be a summary code, or a reference to a very precise definition of the location, or both.",,A coded specification of the anatomic site where the medication first enters the body.,,example,,A coded concept describing the site location the medicine enters into or onto the body.,,http://hl7.org/fhir/ValueSet/approach-site-codes,,,,,,Dosage.site,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.approachSiteCode,right_only,
MedicationRequest.dosageInstruction.text,,MedicationRequest.dosageInstruction.text,,,,,,0.0,,1,,Y,,,,Y,,string {[]} {[]},,Free text dosage instructions e.g. SIG,,Free text dosage instructions e.g. SIG.,,,,"Free text dosage instructions can be used for cases where the instructions are too complex to code.  The content of this attribute does not include the name or description of the medication. When coded instructions are present, the free text instructions may still be present for display to humans taking or administering the medication. It is expected that the text instructions will always be populated.  If the dosage.timing attribute is also populated, then the dosage.text should reflect the same information as the timing.  Additional information about administration or preparation of the medication should be included as text.",,,,,,,,,,,,Dosage.text,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.text,right_only,
MedicationRequest.dosageInstruction.timing,,MedicationRequest.dosageInstruction.timing,,,,,,0.0,,1,,,,,,Y,,Timing {[]} {[]},,When medication should be administered,,When medication should be administered.,,"This attribute might not always be populated while the Dosage.text is expected to be populated.  If both are populated, then the Dosage.text should reflect the content of the Dosage.timing.",,"The timing schedule for giving the medication to the patient. This  data type allows many different expressions. For example: ""Every 8 hours""; ""Three times a day""; ""1/2 an hour before breakfast for 10 days from 23-Dec 2011:""; ""15 Oct 2013, 17 Oct 2013 and 1 Nov 2013"".  Sometimes, a rate can imply duration when expressed as total volume / duration (e.g.  500mL/2 hours implies a duration of 2 hours).  However, when rate doesn't imply duration (e.g. 250mL/hour), then the timing.repeat.duration is needed to convey the infuse over time period.",,,,,,,,,,,,Dosage.timing,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.effectiveTime,right_only,
MedicationRequest.encounter,,MedicationRequest.encounter,,,,,,0.0,,1,,Y,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-encounter]]},,Encounter created as part of encounter/admission/stay,,The Encounter during which this [x] was created or to which the creation of this record is tightly associated.,,"This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter.""    If there is a need to link to episodes of care they will be handled with an extension.",,,,,,,,,,,,,,MedicationRequest.encounter,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.context,right_only,
MedicationRequest.eventHistory,,MedicationRequest.eventHistory,,,,,,0.0,,*,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Provenance]]},,A list of events of interest in the lifecycle,,Links to Provenance records for past versions of this resource or fulfilling request or event resources that identify key state transitions or updates that are likely to be relevant to a user looking at the current version of the resource.,,"This might not include provenances for all versions of the request – only those deemed “relevant” or important. This SHALL NOT include the provenance associated with this current version of the resource. (If that provenance is deemed to be a “relevant” change, it will need to be added as part of a later update. Until then, it can be queried directly as the provenance that points to this version using _revinclude All Provenances should have some historical version of this Request as their subject.).",,,,,,,,,,,,,,MedicationRequest.eventHistory,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.relevantHistory,right_only,
MedicationRequest.extension,,MedicationRequest.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,DomainResource.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.groupIdentifier,,MedicationRequest.groupIdentifier,,,,,,0.0,,1,,,,,,Y,,Identifier {[]} {[]},,Composite request this is part of,,"A shared identifier common to all requests that were authorized more or less simultaneously by a single author, representing the identifier of the requisition or prescription.",,,,"Requests are linked either by a ""basedOn"" relationship (i.e. one request is fulfilling another) or by having a common requisition. Requests that are part of the same requisition are generally treated independently from the perspective of changing their state or maintaining them after initial creation.",,,,,,,,,,,,MedicationRequest.groupIdentifier,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.groupIdentifier,right_only,
MedicationRequest.id,,MedicationRequest.id,,,,,,0.0,,1,,,,,,Y,,string {[]} {[]},,Logical id of this artifact,,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",,The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,,,,,,,,,,,,,,Resource.id,,0,,1,,,,,,,right_only,
MedicationRequest.identifier,,MedicationRequest.identifier,,,,,,0.0,,*,,,,,,,,Identifier {[]} {[]},,External ids for this request,,Identifiers associated with this medication request that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate. They are business identifiers assigned to this resource by the performer or other systems and remain constant as the resource is updated and propagates from server to server.,,"This is a business identifier, not a resource identifier.",,,,,,,,,,,,,,MedicationRequest.identifier,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.identifier,right_only,
MedicationRequest.implicitRules,,MedicationRequest.implicitRules,,,,,,0.0,,1,,,,Y,,Y,,uri {[]} {[]},,A set of rules under which this content was created,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.",,"Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.",,,,,,,,,,,,,,Resource.implicitRules,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
MedicationRequest.instantiatesCanonical,,MedicationRequest.instantiatesCanonical,,,,,,0.0,,*,,,,,,Y,,canonical {[]} {[]},,Instantiates FHIR protocol or definition,,"The URL pointing to a protocol, guideline, orderset, or other definition that is adhered to in whole or in part by this MedicationRequest.",,,,,,,,,,,,,,,,MedicationRequest.instantiatesCanonical,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.instantiates,right_only,
MedicationRequest.instantiatesUri,,MedicationRequest.instantiatesUri,,,,,,0.0,,*,,,,,,Y,,uri {[]} {[]},,Instantiates external protocol or definition,,"The URL pointing to an externally maintained protocol, guideline, orderset or other definition that is adhered to in whole or in part by this MedicationRequest.",,,,,,,,,,,,,,,,MedicationRequest.instantiatesUri,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.outboundRelationship[typeCode=DEFN].target,right_only,
MedicationRequest.insurance,,MedicationRequest.insurance,,,,,,0.0,,*,,,,,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Coverage], CanonicalType[http://hl7.org/fhir/StructureDefinition/ClaimResponse]]}",,Associated insurance coverage,,"Insurance plans, coverage extensions, pre-authorizations and/or pre-determinations that may be required for delivering the requested service.",,,,,,,,,,,,,,,,MedicationRequest.insurance,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.insurance,right_only,
MedicationRequest.intent,,MedicationRequest.intent,,,,,,1.0,,1,,Y,,Y,,Y,,code {[]} {[]},,proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option,,"Whether the request is a proposal, plan, or an original order.",,"It is expected that the type of requester will be restricted for different stages of a MedicationRequest.  For example, Proposals can be created by a patient, relatedPerson, Practitioner or Device.  Plans can be created by Practitioners, Patients, RelatedPersons and Devices.  Original orders can be created by a Practitioner only.An instance-order is an instantiation of a request or order and may be used to populate Medication Administration Record.This element is labeled as a modifier because the intent alters when and how the resource is actually applicable.",,,,required,,The kind of medication order.,,http://hl7.org/fhir/ValueSet/medicationrequest-intent,,,,,,MedicationRequest.intent,,1,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.intent,right_only,
MedicationRequest.language,,MedicationRequest.language,,,,,,0.0,,1,,,,,,,,code {[]} {[]},,Language of the resource content,,The base language in which the resource is written.,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,,preferred,,A human language.,,http://hl7.org/fhir/ValueSet/languages,,,,,,Resource.language,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
MedicationRequest.medication[x],,MedicationRequest.medication[x],,,,,,1.0,,1,,Y,,,,Y,,"CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-medication]]}",,Medication to be taken,,Identifies the medication being requested. This is a link to a resource that represents the medication which may be the details of the medication or simply an attribute carrying a code that identifies the medication from a known list of medications.,,"If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the Medication resource is recommended.  For example, if you require form or lot number or if the medication is compounded or extemporaneously prepared, then you must reference the Medication resource.",,,,extensible,,,,http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4,,,,,,MedicationRequest.medication[x],,1,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.code,right_only,
MedicationRequest.meta,,MedicationRequest.meta,,,,,,0.0,,1,,,,,,Y,,Meta {[]} {[]},,Metadata about the resource,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.,,,,,,,,,,,,,,,,Resource.meta,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
MedicationRequest.modifierExtension,,MedicationRequest.modifierExtension,,,,"extensions
user content",,0.0,,*,,,,Y,,,,Extension {[]} {[]},,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,DomainResource.modifierExtension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.note,,MedicationRequest.note,,,,,,0.0,,*,,,,,,,,Annotation {[]} {[]},,Information about the prescription,,Extra information about the prescription that could not be conveyed by the other attributes.,,,,,,,,,,,,,,,,MedicationRequest.note,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.note,right_only,
MedicationRequest.performer,,MedicationRequest.performer,,,,,,0.0,,1,,,,,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}",,Intended performer of administration,,The specified desired performer of the medication treatment (e.g. the performer of the medication administration).,,,,,,,,,,,,,,,,MedicationRequest.performer,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.performer,right_only,
MedicationRequest.performerType,,MedicationRequest.performerType,,,,,,0.0,,1,,,,,,Y,,CodeableConcept {[]} {[]},,Desired kind of performer of the medication administration,,Indicates the type of performer of the administration of the medication.,,"If specified without indicating a performer, this indicates that the performer must be of the specified type. If specified with a performer then it indicates the requirements of the performer if the designated performer is not available.",,,,example,,Identifies the type of individual that is desired to administer the medication.,,http://hl7.org/fhir/ValueSet/performer-role,,,,,,MedicationRequest.performerType,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.performerType,right_only,
MedicationRequest.priorPrescription,,MedicationRequest.priorPrescription,,,,,,0.0,,1,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest]]},,An order/prescription that is being replaced,,A link to a resource representing an earlier order related order or prescription.,,,,,,,,,,,,,,,,MedicationRequest.priorPrescription,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.replaces,right_only,
MedicationRequest.priority,,MedicationRequest.priority,,,,,,0.0,,1,,,,,,Y,,code {[]} {[]},,routine | urgent | asap | stat,,Indicates how quickly the Medication Request should be addressed with respect to other requests.,,,,,,required,,Identifies the level of importance to be assigned to actioning the request.,,http://hl7.org/fhir/ValueSet/request-priority|4.0.1,,,,,,MedicationRequest.priority,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.priority,right_only,
MedicationRequest.reasonCode,,MedicationRequest.reasonCode,,,,,,0.0,,*,,,,,,,,CodeableConcept {[]} {[]},,Reason or indication for ordering or not ordering the medication,,The reason or the indication for ordering or not ordering the medication.,,"This could be a diagnosis code. If a full condition record exists or additional detail is needed, use reasonReference.",,,,example,,A coded concept indicating why the medication was ordered.,,http://hl7.org/fhir/ValueSet/condition-code,,,,,,MedicationRequest.reasonCode,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.reasonCode,right_only,
MedicationRequest.reasonReference,,MedicationRequest.reasonReference,,,,,,0.0,,*,,,,,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}",,Condition or observation that supports why the prescription is being written,,Condition or observation that supports why the medication was ordered.,,"This is a reference to a condition or observation that is the reason for the medication order.  If only a code exists, use reasonCode.",,,,,,,,,,,,,,MedicationRequest.reasonReference,,0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.reasonReference,right_only,
MedicationRequest.recorder,,MedicationRequest.recorder,,,,,,0.0,,1,,,,,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}",,Person who entered the request,,The person who entered the order on behalf of another individual for example in the case of a verbal or a telephone order.,,,,,,,,,,,,,,,,MedicationRequest.recorder,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.participation[typeCode=TRANS].role[classCode=ASSIGNED].code (HealthcareProviderType),right_only,
MedicationRequest.reported[x],,MedicationRequest.reported[x],,,,,,0.0,,1,,Y,,,,Y,,"boolean {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitioner], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitionerrole], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-relatedperson]]}",,Reported rather than primary record,,Indicates if this record was captured as a secondary 'reported' record rather than as an original primary source-of-truth record.  It may also indicate the source of the report.,,,,,,,,,,,,,,,,MedicationRequest.reported[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.participation[typeCode=INF].role,right_only,
MedicationRequest.requester,,MedicationRequest.requester,,,,,,1.0,,1,,Y,,,,Y,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitioner], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitionerrole], CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-relatedperson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}",,Who/What requested the Request,,"The individual, organization, or device that initiated the request and has responsibility for its activation.",,,,,,,,,,,,,,,,MedicationRequest.requester,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.requester,right_only,
MedicationRequest.status,,MedicationRequest.status,,,,,,1.0,,1,,Y,,Y,,Y,,code {[]} {[]},,active | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown,,"A code specifying the current state of the order.  Generally, this will be active or completed state.",,This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.,,,,required,,A code specifying the state of the prescribing event. Describes the lifecycle of the prescription.,,http://hl7.org/fhir/ValueSet/medicationrequest-status,,,,,,MedicationRequest.status,,1,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.status,right_only,
MedicationRequest.statusReason,,MedicationRequest.statusReason,,,,,,0.0,,1,,,,,,,,CodeableConcept {[]} {[]},,Reason for current status,,Captures the reason for the current state of the MedicationRequest.,,"This is generally only used for ""exception"" statuses such as ""suspended"" or ""cancelled"". The reason why the MedicationRequest was created at all is captured in reasonCode, not here.",,,,example,,Identifies the reasons for a given status.,,http://hl7.org/fhir/ValueSet/medicationrequest-status-reason,,,,,,MedicationRequest.statusReason,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.statusReason,right_only,
MedicationRequest.subject,,MedicationRequest.subject,,,,,,1.0,,1,,Y,,,,Y,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient]]},,Who or group medication request is for,,A link to a resource representing the person or set of individuals to whom the medication will be given.,,"The subject on a medication request is mandatory.  For the secondary use case where the actual subject is not provided, there still must be an anonymized subject specified.",,,,,,,,,,,,,,MedicationRequest.subject,,1,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,Request.subject,right_only,
MedicationRequest.substitution,,MedicationRequest.substitution,,,,,,0.0,,1,,,,,,,,BackboneElement {[]} {[]},,Any restrictions on medication substitution,,"Indicates whether or not substitution can or should be part of the dispense. In some cases, substitution must happen, in other cases substitution must not happen. This block explains the prescriber's intent. If nothing is specified substitution may be done.",,,,,,,,,,,,,,,,MedicationRequest.substitution,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,specific values within Message/Body/NewRx/MedicationPrescribed/Substitutions,right_only,
MedicationRequest.substitution.allowed[x],,MedicationRequest.substitution.allowed[x],,,,,,1.0,,1,,,,,,,,"boolean {[]} {[]}
CodeableConcept {[]} {[]}",,Whether substitution is allowed or not,,True if the prescriber allows a different drug to be dispensed from what was prescribed.,,"This element is labeled as a modifier because whether substitution is allow or not, it cannot be ignored.",,,,example,,Identifies the type of substitution allowed.,,http://terminology.hl7.org/ValueSet/v3-ActSubstanceAdminSubstitutionCode,,,,,,MedicationRequest.substitution.allowed[x],,1,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,specific values within Message/Body/NewRx/MedicationPrescribed/Substitutions,right_only,
MedicationRequest.substitution.extension,,MedicationRequest.substitution.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.substitution.id,,MedicationRequest.substitution.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
MedicationRequest.substitution.modifierExtension,,MedicationRequest.substitution.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,BackboneElement.modifierExtension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
MedicationRequest.substitution.reason,,MedicationRequest.substitution.reason,,,,,,0.0,,1,,,,,,,,CodeableConcept {[]} {[]},,Why should (not) substitution be made,,"Indicates the reason for the substitution, or why substitution must or must not be performed.",,,,,,example,,A coded concept describing the reason that a different medication should (or should not) be substituted from what was prescribed.,,http://terminology.hl7.org/ValueSet/v3-SubstanceAdminSubstitutionReason,,,,,,MedicationRequest.substitution.reason,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,not mapped,right_only,
